Cu,Al,Mn,Ni,Co,Zn,Si,Be,Hf,Fe,Ti,V,Mg,Cr,Ag,Nb,Zr,Ms,Mp,Mf,As,Ap,Af,HMA,HAM,Crlrat,Ttemp1,Ttime1,Ttemp2,Ttime2
80.5,8.7,10.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,,185,202,,225,,,0,1173,0.25,423,0.25
81.3,7.1,11.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,,209,230,,245,,,0,1173,0.25,423,0.25
80.8,7.6,11.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,,181,199,,211,,,0,1173,0.25,423,0.25
80.2,8.1,11.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,,143,159,,176,,,0,1173,0.25,423,0.25
80.9,6.6,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,,206,229,,266,,,0,1173,0.25,423,0.25
80.4,7.1,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,,136,155,,167,,,0,1173,0.25,423,0.25
80,6.6,13.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,,157,179,,195,,,0,1173,0.25,423,0.25
79.6,6.1,14.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,,138,155,,287,,,0,1173,0.25,423,0.25
77.2,5.6,17.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,,148,229,,251,,,0,1173,0.25,423,0.25
75.9,5.1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,,,226,,262,,,0,1173,0.25,423,0.25
83.5,13.4,0,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,351.22,342.55,321.72,406.67,412.11,416.88,3.08,-6.56,0,1123,0.5,0,0
83.5,13,0,3,0,0,0,0,0,0,0,0,0,0.5,0,0,0,346.38,333.89,310.53,346.17,358.13,386.22,4.01,-7.06,0,1123,0.5,0,0
81.3,13.2,0,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,372,,348,364,,384,9.2,,0,1173,0.5,0,0
81.3,13.2,0,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,376,,348,365,,385,9.4,,0,1173,0.5,453,24
81.8,13.2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,377,,356,370,,385,9.6,,0,1173,0.5,0,0
81.8,13.2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,386,,359,374,,394,9.7,,0,1173,0.5,453,24
82.3,13.2,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,385,,355,375,,396,10.5,,0,1173,0.5,0,0
82.3,13.2,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,396,,357,383,,409,10.5,,0,1173,0.5,453,24
82.8,13.2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,396,,368,385,,407,11,,0,1173,0.5,0,0
82.8,13.2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,411,,368,395,,427,11.3,,0,1173,0.5,453,24
83.3,13.2,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,408,,367,395,,415,11.6,,0,1173,0.5,0,0
83.3,13.2,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,422,,371,400,,433,11.7,,0,1173,0.5,453,24
81,12,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,299.9,286.8,275.3,322.8,346.9,356.3,3.08,,0,1173,0.25,0,0
82,12,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,304.7,297.4,285.6,330.2,340.8,348.8,6.28,,0,1173,0.25,0,0
81,12,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,293.9,287.9,262.8,306.9,321.3,327.2,6.78,,0,1173,0.25,0,0
82,12,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,305.1,301.7,287.2,329.2,341.3,343.6,7.77,,0,1173,0.25,0,0
83,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326.2,321.6,304.7,341.6,352.3,358.2,7.07,,0,1173,0.25,0,0
83.5,13,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,466.8,,419.4,447,,499.1,10.4,,0,1173,24,0,0
82.5,13,0,3.5,0,0,0,0,0,0,0,0,0,0,0,1,0,475.2,,449.6,492.7,,517,9.4,,0,1173,24,0,0
81.5,13,0,3.5,0,0,0,0,0,0,0,0,0,0,0,2,0,498.5,,459.2,497.2,,535.6,5,,0,1173,24,0,0
80.5,13,0,3.5,0,0,0,0,0,0,0,0,0,0,0,3,0,481.5,,439.3,497.6,,529.3,8.8,,0,1173,24,0,0
79.5,13,0,3.5,0,0,0,0,0,0,0,0,0,0,0,4,0,566.3,,463.8,508.1,,557,5.3,,0,1173,24,0,0
81,13.7,1.3,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0.1,231.3,,,,,,6.415,,0,1173,1,0,0
81.1,13.7,1.3,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0.1,206.6,,,,,,5,,0,1173,1,0,0
81.6,14.3,0.7,1.4,0,0,0,0,0,0,0,0,0,0,0,0,2,198.3,,,,,,3.7,,0,1173,1,0,0
81.3,14.5,0.5,1.7,0,0,0,0,0,0,0,0,0,0,0,0,2,186.9,,,,,,2.583,,0,1173,1,0,0
